vehicle_type,fuel_capacity_liters,current_fuel_liters,avg_mileage_kmpl,daily_travel_km,days_since_last_refill,historical_avg_refill_gap_days,highway_ratio,fuel_exhaustion_days
motorcycle,18.1,16.0,39.1,103.8,26,12,0.76,7.09
sedan,53.9,37.1,15.3,62.6,23,13,0.51,9.58
motorcycle,11.2,4.2,54.1,104.1,13,18,0.33,2.47
motorcycle,18.1,17.2,39.4,103.7,8,15,0.71,7.75
sedan,49.8,34.1,14.5,105.4,21,15,0.05,4.69
sedan,52.0,20.6,13.7,101.2,20,3,0.19,3.15
sedan,49.4,25.7,18.0,58.0,4,18,0.83,9.02
sedan,51.8,35.1,19.0,46.7,16,20,0.41,15.69
truck,113.2,6.3,11.7,83.1,3,10,0.7,1.06
hatchback,32.0,31.3,19.8,119.5,19,19,0.22,5.5
hatchback,30.8,8.6,19.3,24.7,17,9,0.88,9.18
sedan,37.8,37.2,14.5,13.4,13,5,0.9,52.98
hatchback,42.8,29.2,15.4,36.8,22,4,0.93,15.37
hatchback,34.7,29.5,16.6,5.2,18,11,0.57,109.09
sedan,44.6,38.6,13.1,68.7,21,4,0.17,7.73
hatchback,36.5,5.2,19.1,45.1,10,3,0.72,2.54
motorcycle,11.1,1.4,59.8,31.8,22,20,0.19,2.72
suv,74.1,25.9,11.6,82.7,9,19,0.86,4.16
suv,76.0,1.7,14.2,58.0,2,9,0.48,0.47
sedan,54.8,47.1,13.0,86.2,13,11,0.01,6.54
truck,84.2,20.5,10.7,43.8,23,8,0.99,5.6
sedan,43.6,3.6,14.2,46.8,28,13,0.91,1.3
truck,89.6,30.3,5.7,114.6,15,20,0.3,1.52
suv,54.9,43.2,9.0,78.0,18,14,0.02,4.71
sedan,50.2,3.1,20.6,18.6,0,3,0.25,3.57
motorcycle,18.5,1.2,45.4,93.5,9,13,0.01,0.59
hatchback,42.0,41.2,20.1,62.9,1,16,0.95,15.4
truck,95.5,67.2,6.4,56.4,11,8,0.65,9.3
hatchback,36.2,24.4,15.2,51.2,18,20,0.22,7.3
hatchback,44.5,33.0,21.0,103.1,26,7,0.14,6.63
sedan,50.3,6.4,21.8,48.9,13,5,0.63,3.15
hatchback,44.1,40.6,22.9,76.9,17,13,0.07,12.06
motorcycle,13.3,4.9,49.1,45.9,6,4,0.69,5.49
hatchback,36.4,35.3,20.6,69.9,11,18,0.7,12.05
sedan,42.3,35.0,14.0,58.9,17,4,0.38,7.8
motorcycle,12.0,5.5,32.2,71.2,10,12,0.73,2.92
suv,60.8,6.2,9.6,67.7,13,3,0.09,0.84
hatchback,34.6,32.1,15.6,116.1,7,13,0.24,4.51
sedan,43.9,13.1,12.8,105.8,9,18,0.3,1.57
suv,76.7,9.7,8.0,62.7,23,17,0.88,1.49
suv,51.5,14.0,11.7,31.1,18,16,0.96,6.1
truck,81.1,73.9,9.0,92.7,16,5,0.43,6.66
motorcycle,18.5,7.4,53.8,113.2,6,16,0.74,4.13
hatchback,35.9,2.8,18.0,82.5,25,10,0.75,0.71
sedan,42.1,27.1,13.9,91.2,10,16,0.29,4.34
truck,73.0,70.6,10.0,115.1,13,14,0.48,7.28
motorcycle,19.0,10.5,51.2,34.0,1,14,0.12,16.8
truck,110.3,61.2,6.1,88.7,2,14,0.7,4.52
motorcycle,18.6,8.4,39.3,112.7,13,8,0.5,3.28
motorcycle,13.3,3.4,46.7,72.2,19,13,0.08,2.35
hatchback,35.3,24.3,16.7,100.2,4,7,0.12,4.06
motorcycle,15.2,11.6,55.1,86.0,9,5,0.31,7.6
truck,75.9,53.1,6.4,15.7,1,11,0.82,25.36
motorcycle,18.1,9.2,31.7,25.1,1,12,0.71,13.15
hatchback,43.5,25.8,15.2,19.0,9,4,0.18,21.22
hatchback,30.4,8.3,18.1,37.2,27,6,0.2,3.77
truck,108.3,20.9,5.6,55.2,13,18,0.44,2.36
suv,60.4,56.4,15.4,62.8,0,8,0.84,14.78
suv,75.9,24.7,14.8,9.7,5,19,0.62,41.97
motorcycle,16.7,6.3,35.4,37.4,6,3,0.43,6.33
sedan,36.5,4.8,20.4,32.6,26,12,0.5,3.14
motorcycle,10.4,1.5,55.0,18.6,6,10,0.94,5.32
truck,75.1,8.5,7.8,75.9,18,20,0.35,0.87
truck,97.0,85.9,6.6,51.5,16,13,0.87,13.77
truck,93.9,49.0,7.0,64.5,9,20,0.46,6.28
truck,76.9,25.1,11.5,11.5,7,20,0.91,29.5
truck,96.6,53.2,6.7,44.5,25,10,0.56,8.49
hatchback,30.2,29.1,17.8,74.4,1,7,0.39,7.52
suv,75.5,26.8,8.3,90.8,8,17,0.88,2.99
truck,97.4,13.7,7.2,28.2,6,10,0.4,3.83
sedan,41.0,26.0,13.5,47.9,3,13,0.7,7.67
sedan,43.9,37.3,14.1,114.5,29,6,0.84,5.27
sedan,51.2,17.0,12.1,48.9,15,3,0.09,4.46
sedan,42.8,35.7,13.3,112.6,12,9,0.94,5.03
hatchback,40.1,15.2,23.4,36.7,0,9,0.7,11.38
sedan,49.8,4.1,15.9,37.5,11,6,0.92,2.0
truck,62.8,21.9,7.8,32.5,4,5,0.64,6.07
motorcycle,15.4,10.4,38.2,73.2,28,11,0.13,5.75
sedan,39.9,12.3,21.2,31.5,1,12,0.37,8.54
hatchback,44.3,38.5,19.8,82.5,25,19,0.34,10.04
hatchback,41.9,4.2,16.8,72.3,22,4,0.93,1.18
sedan,45.2,34.2,15.1,64.2,22,19,0.72,9.03
motorcycle,15.8,12.8,55.9,57.5,29,14,0.48,14.18
sedan,52.3,52.1,16.3,17.8,20,6,0.88,59.14
hatchback,33.1,27.5,19.6,11.3,27,18,0.51,51.85
suv,75.7,23.8,9.5,19.8,3,15,0.2,10.79
truck,60.6,5.5,7.6,99.4,22,12,0.46,0.45
hatchback,36.8,10.1,17.5,86.1,20,10,0.12,2.08
sedan,54.2,34.8,19.7,14.1,16,7,0.02,47.96
truck,116.1,53.6,7.0,69.6,12,16,0.61,5.66
sedan,46.4,37.0,21.9,33.9,5,3,0.79,28.62
sedan,36.1,33.7,12.5,67.9,24,7,0.14,6.37
suv,67.4,19.8,10.2,51.6,0,15,0.05,3.79
truck,69.3,31.0,8.6,34.8,19,14,0.09,7.86
truck,78.2,75.6,11.6,43.5,12,19,0.91,23.45
suv,57.7,26.5,13.5,89.3,6,20,0.29,4.25
hatchback,38.1,20.8,18.1,24.5,5,7,0.06,15.15
sedan,40.9,4.6,18.7,20.3,29,13,0.17,4.31
motorcycle,13.8,5.4,43.0,94.9,23,5,0.58,2.88
sedan,39.8,9.7,17.0,35.0,26,9,0.51,5.05
sedan,43.9,42.5,17.7,104.3,6,19,0.57,8.12
hatchback,40.8,15.8,14.9,57.7,8,11,0.24,4.5
sedan,54.3,52.1,14.5,45.0,3,9,0.97,18.15
suv,65.8,45.6,10.2,89.7,5,6,0.82,5.86
suv,54.2,40.8,8.4,114.1,11,20,0.01,3.02
truck,106.8,56.3,9.5,95.4,6,11,0.72,6.92
motorcycle,16.1,2.3,50.3,12.4,5,15,0.74,10.98
sedan,35.6,30.2,16.6,30.0,21,12,0.12,16.74
sedan,36.4,18.1,14.2,34.2,1,6,0.09,7.27
hatchback,41.4,30.2,14.1,63.6,20,8,0.98,8.38
suv,78.6,63.1,9.9,12.8,21,5,0.27,55.38
motorcycle,18.6,15.9,40.8,84.0,7,19,0.06,7.83
truck,102.1,2.0,7.9,42.9,10,17,0.14,0.38
suv,79.5,72.4,14.8,11.0,24,15,0.61,110.93
truck,114.9,18.8,10.3,70.4,12,5,0.47,3.14
hatchback,43.3,25.1,20.3,64.7,7,13,0.45,7.81
hatchback,34.4,32.1,15.2,80.0,1,20,0.45,6.05
sedan,44.1,8.0,15.0,76.4,5,4,0.9,1.89
motorcycle,16.3,7.7,31.2,62.4,16,3,0.46,4.09
truck,98.3,8.9,8.0,38.7,9,17,0.13,1.89
suv,70.7,56.4,9.3,17.0,2,4,0.88,31.98
hatchback,31.6,20.9,22.7,100.2,23,15,0.05,5.27
sedan,40.1,6.3,14.6,49.3,22,4,0.97,2.28
sedan,46.4,43.3,20.6,24.6,6,6,0.46,33.57
truck,107.3,65.1,9.6,119.8,10,3,0.84,6.5
hatchback,31.9,21.1,23.8,109.9,5,5,0.21,5.07
motorcycle,11.0,1.6,47.8,99.9,8,4,0.46,0.81
hatchback,44.0,15.5,23.1,117.8,4,16,0.82,3.27
truck,105.0,73.8,7.1,11.6,4,17,0.66,51.39
truck,112.2,100.1,8.1,57.8,20,4,0.67,15.53
hatchback,42.3,11.1,18.2,101.5,10,10,0.24,1.95
truck,66.1,60.3,10.7,92.4,19,10,0.84,8.25
hatchback,36.6,13.2,19.5,15.5,25,12,0.58,18.07
suv,55.5,4.1,12.7,101.6,15,8,0.05,0.51
hatchback,38.6,31.8,17.3,45.2,26,15,0.03,12.7
hatchback,38.7,29.0,20.8,28.7,3,11,0.13,23.07
truck,67.8,46.2,11.0,115.7,9,12,0.18,4.97
truck,106.9,75.5,10.8,11.5,4,9,0.95,89.63
sedan,41.0,1.8,16.3,8.8,12,11,0.17,3.3
sedan,39.7,20.1,21.1,29.3,9,5,0.98,17.79
suv,56.7,12.6,14.0,34.1,14,18,0.57,6.06
sedan,44.9,41.0,21.3,24.0,10,20,0.98,42.52
hatchback,43.6,3.4,22.3,57.6,11,9,0.88,1.59
truck,73.4,40.5,9.8,26.9,12,3,0.47,15.12
sedan,36.4,30.0,15.4,71.1,15,3,0.11,6.18
sedan,49.7,41.9,17.4,15.0,19,20,0.35,46.23
suv,69.7,37.9,13.4,83.5,6,17,0.27,6.39
suv,76.7,44.1,14.7,119.0,4,4,0.69,6.03
hatchback,40.1,39.3,23.9,84.0,14,4,0.11,11.5
truck,83.0,52.7,8.0,55.3,2,7,0.76,8.82
suv,78.1,73.5,9.4,105.6,8,19,0.25,6.83
sedan,53.2,34.1,19.2,34.6,23,12,0.03,18.81
truck,82.5,52.1,6.0,99.6,15,13,0.65,3.84
truck,66.4,2.1,11.4,36.0,25,18,1.0,0.74
sedan,39.2,11.1,18.6,116.0,4,10,0.5,1.92
suv,79.3,76.5,9.3,39.4,29,20,0.27,19.33
sedan,51.3,20.0,12.9,44.4,29,5,0.63,6.15
truck,119.2,98.0,7.0,13.1,8,14,0.12,52.82
motorcycle,15.8,14.7,44.9,101.9,25,12,0.71,7.12
motorcycle,13.6,9.0,32.1,46.6,22,5,1.0,7.64
hatchback,37.1,30.5,18.3,96.6,25,19,0.89,7.4
sedan,47.6,20.5,13.4,15.8,13,14,0.87,18.9
sedan,39.7,9.2,19.4,41.8,7,4,0.16,4.35
hatchback,41.4,6.8,14.1,7.3,25,20,0.01,13.84
hatchback,36.3,26.3,18.4,89.2,14,18,0.81,5.87
hatchback,33.6,21.5,22.3,52.8,21,17,0.87,10.88
truck,100.2,45.5,8.4,28.5,29,18,0.7,13.07
sedan,37.6,11.7,20.7,109.0,9,20,0.59,2.53
truck,89.5,18.0,8.2,33.3,5,16,0.34,4.74
hatchback,39.5,21.9,15.3,48.2,17,15,0.46,7.83
sedan,38.6,12.4,12.5,58.9,24,15,0.93,3.07
truck,111.3,40.6,9.4,87.2,17,9,0.31,4.63
truck,117.7,113.6,7.0,60.2,0,20,0.1,13.17
hatchback,36.1,8.7,19.3,119.5,25,16,0.85,1.64
sedan,47.7,2.9,14.1,111.4,15,12,0.1,0.35
hatchback,34.0,33.9,22.6,51.9,28,5,0.65,17.57
sedan,49.8,2.5,13.2,77.8,17,11,0.62,0.48
motorcycle,15.2,1.5,32.4,82.3,26,10,0.34,0.63
suv,56.5,46.2,9.7,67.3,22,7,0.29,7.09
suv,67.3,43.8,8.1,115.4,10,4,0.7,3.29
suv,50.4,3.4,12.8,44.3,19,15,0.9,1.21
hatchback,40.0,5.9,21.7,29.2,8,5,0.65,5.09
motorcycle,11.7,10.3,48.4,23.1,18,5,0.52,24.06
sedan,40.1,32.4,20.2,117.6,4,10,0.75,6.19
truck,67.9,37.6,8.8,15.3,11,15,0.85,25.0
sedan,52.5,7.6,19.2,16.6,12,20,0.7,9.82
truck,65.8,18.8,7.2,92.8,17,19,0.39,1.53
sedan,40.8,19.0,13.2,57.1,20,16,0.58,4.88
motorcycle,10.8,2.9,44.2,46.6,25,16,0.53,3.24
truck,80.5,65.0,7.4,11.4,7,20,0.59,48.07
hatchback,44.0,32.2,23.2,109.5,23,7,0.53,7.69
sedan,50.5,6.3,19.8,24.6,29,19,0.04,5.12
sedan,41.5,23.0,17.5,46.0,16,20,0.33,8.94
truck,89.9,25.5,10.1,13.8,20,8,0.42,19.64
hatchback,41.6,14.8,19.6,28.6,1,17,0.05,10.06
hatchback,43.1,15.8,21.2,41.7,28,12,0.27,8.65
motorcycle,15.2,4.3,33.7,19.2,21,20,0.13,7.73
hatchback,36.8,2.4,21.3,65.7,29,5,0.38,0.88
hatchback,42.6,37.0,20.0,88.7,18,14,0.59,8.83
hatchback,43.2,9.2,17.1,76.4,19,6,0.7,2.42
suv,53.4,45.5,12.3,59.2,1,10,0.88,10.81
motorcycle,15.1,7.9,48.8,113.8,11,14,0.17,3.58
sedan,49.5,25.5,18.8,28.3,9,13,1.0,20.25
truck,115.4,2.8,10.1,107.2,27,16,0.45,0.32
sedan,39.1,22.6,18.5,39.8,7,19,0.05,10.63
motorcycle,15.3,9.0,35.1,27.7,1,17,0.59,13.55
truck,72.6,9.3,11.8,7.5,16,16,0.36,15.52
motorcycle,10.9,2.0,36.0,120.0,14,13,0.64,0.67
hatchback,32.1,29.6,14.9,114.8,7,9,0.4,4.2
truck,65.4,62.0,6.8,43.8,17,10,0.5,10.93
hatchback,31.8,13.3,17.5,93.9,16,4,0.15,2.37
sedan,38.0,30.5,19.1,26.9,29,9,0.11,20.52
sedan,47.6,6.7,21.9,94.8,15,9,0.49,1.7
truck,83.0,80.7,6.1,45.7,7,5,0.39,11.51
truck,99.9,22.3,6.5,88.9,8,18,0.42,1.73
motorcycle,10.1,1.8,46.7,107.6,14,18,0.33,0.81
motorcycle,11.2,5.0,31.1,110.5,26,17,0.99,1.68
hatchback,37.8,8.0,18.6,108.8,11,8,0.1,1.47
truck,78.2,50.3,7.5,111.8,1,3,0.84,4.22
sedan,52.0,28.6,20.0,63.5,0,13,0.38,10.46
motorcycle,14.4,2.9,33.1,66.6,9,4,0.3,1.45
motorcycle,16.7,12.0,41.2,7.0,15,10,0.02,74.58
sedan,47.6,8.6,17.7,62.9,27,10,0.36,2.73
motorcycle,18.9,9.7,51.9,41.4,0,19,0.72,14.13
hatchback,38.7,25.4,14.3,76.1,24,15,0.55,5.12
truck,71.6,68.1,7.9,58.7,24,19,0.04,9.14
sedan,49.3,27.0,17.1,33.0,6,10,0.41,15.4
truck,99.9,11.4,9.7,78.1,22,6,0.83,1.67
motorcycle,18.7,8.3,50.9,35.8,26,9,0.52,13.08
motorcycle,19.2,18.6,46.2,57.7,12,15,0.67,16.46
sedan,36.3,17.4,14.4,59.0,28,20,0.58,4.5
hatchback,37.6,31.4,20.6,43.9,7,18,0.68,16.37
suv,65.8,47.5,12.7,114.0,25,13,0.11,5.55
sedan,47.9,42.8,19.3,63.5,29,15,0.27,13.08
suv,75.0,32.6,13.2,88.6,0,16,0.14,5.48
suv,75.5,34.1,15.3,55.6,26,20,0.87,10.02
hatchback,30.9,27.6,17.3,41.2,20,11,0.75,12.92
suv,55.7,7.9,10.5,106.9,24,9,0.76,0.86
suv,65.2,64.5,11.7,11.7,5,7,0.95,73.79
hatchback,38.9,28.3,23.4,106.4,11,8,0.56,7.23
suv,66.6,8.5,9.0,65.9,13,10,0.72,1.34
suv,66.2,64.2,11.9,12.3,21,14,0.84,71.01
suv,79.9,35.0,10.6,109.3,6,5,0.23,3.68
sedan,54.0,26.8,19.0,103.0,26,19,0.77,5.81
sedan,48.2,39.9,18.5,116.4,29,17,0.92,7.12
sedan,45.6,6.7,17.9,60.5,18,17,0.19,2.06
hatchback,37.4,35.6,17.8,53.8,16,19,0.6,12.71
motorcycle,12.2,11.8,33.9,47.8,24,9,0.22,8.02
suv,73.4,15.6,8.6,59.6,10,11,0.08,2.36
suv,77.5,66.4,13.5,11.0,15,3,0.85,98.52
hatchback,42.0,21.8,16.3,102.2,1,9,0.98,4.07
suv,56.4,44.9,9.5,12.7,16,14,0.74,37.48
sedan,36.6,13.8,20.6,31.7,10,8,0.01,8.93
motorcycle,16.7,14.9,43.8,74.8,25,8,0.8,10.01
truck,118.0,32.4,8.5,14.9,0,8,0.14,17.17
suv,65.7,38.9,8.1,92.5,13,19,0.05,3.32
sedan,50.1,47.9,14.4,42.2,24,4,0.58,17.86
truck,101.8,57.5,7.7,53.3,22,9,0.01,7.91
motorcycle,10.8,9.6,32.3,86.3,15,10,0.57,3.93
truck,100.1,41.7,8.3,10.7,25,15,0.79,37.86
sedan,44.1,14.0,15.8,103.3,29,5,0.27,2.22
truck,115.2,67.4,8.7,73.6,19,13,0.52,8.58
hatchback,37.1,10.3,22.2,108.5,11,13,0.2,2.21
truck,63.4,43.0,8.7,81.2,24,17,0.5,4.87
suv,71.8,9.0,11.3,60.8,9,3,0.82,1.99
suv,70.8,39.8,13.6,52.4,19,3,0.93,11.96
hatchback,44.2,4.0,18.6,75.1,28,11,0.41,1.01
sedan,47.0,33.1,12.9,62.2,12,12,0.19,7.38
suv,76.8,33.7,9.6,55.4,8,4,0.24,5.65
motorcycle,13.2,2.6,38.9,70.8,0,4,0.39,1.5
suv,73.9,23.3,8.6,112.3,19,20,0.79,2.16
suv,76.2,4.1,14.6,70.7,15,15,0.25,0.83
sedan,46.1,24.8,18.6,31.8,18,5,0.31,14.28
truck,92.6,7.7,10.5,30.0,14,12,0.8,2.93
suv,66.9,49.8,13.3,45.9,25,12,0.29,16.47
hatchback,35.7,11.5,18.6,99.1,8,6,0.23,2.31
truck,80.4,40.6,8.1,30.1,9,13,0.01,11.21
motorcycle,12.4,6.3,47.7,107.0,6,7,0.04,2.72
sedan,46.5,36.8,12.2,68.2,1,17,0.46,6.84
motorcycle,15.6,14.8,30.1,32.4,1,18,0.17,13.9
truck,66.8,38.5,11.0,59.9,0,12,0.68,7.38
truck,93.5,29.1,5.6,5.2,24,11,0.18,31.34
truck,114.9,54.0,5.4,73.8,27,8,0.06,4.01
motorcycle,15.6,8.6,48.3,35.4,3,18,0.51,13.22
truck,108.4,6.4,9.2,97.8,5,12,0.02,0.62
motorcycle,11.4,5.4,46.6,73.9,27,12,0.78,3.61
truck,116.5,100.5,8.9,52.2,9,3,0.11,16.54
hatchback,33.8,33.7,15.9,22.0,1,15,0.58,28.36
truck,97.7,36.3,8.7,95.7,16,17,0.96,3.98
motorcycle,11.8,2.1,31.6,81.7,15,11,0.51,0.96
suv,51.6,28.1,15.5,73.7,21,14,0.52,6.72
truck,71.8,16.1,9.7,51.6,15,20,0.09,2.99
suv,65.3,60.1,15.2,23.0,14,8,0.62,41.67
hatchback,39.0,3.7,16.3,112.1,16,19,0.11,0.49
sedan,45.2,33.5,21.9,77.4,6,12,0.53,10.03
hatchback,32.7,19.3,23.6,62.9,12,4,0.86,7.82
truck,86.1,17.4,6.3,93.4,27,7,0.77,1.31
suv,64.0,60.4,15.5,28.8,12,19,0.15,31.73
suv,65.3,30.6,15.2,112.0,14,16,0.49,4.23
motorcycle,12.0,1.4,49.3,35.2,21,19,0.27,2.03
suv,74.0,28.5,15.2,13.0,10,5,0.65,40.24
motorcycle,16.7,9.3,33.0,98.4,15,18,0.17,3.12
sedan,52.0,45.8,17.5,80.5,3,14,0.28,10.87
truck,99.2,51.2,6.1,11.1,16,15,0.05,29.02
motorcycle,15.7,6.6,52.7,40.1,8,3,0.54,9.92
sedan,37.9,27.2,21.7,95.9,16,13,0.45,6.59
suv,50.2,41.3,10.9,67.2,20,19,0.7,7.66
suv,62.0,59.2,13.1,39.3,29,16,0.9,23.99
sedan,52.0,22.1,13.1,13.7,5,16,0.41,20.35
suv,72.5,60.2,14.2,9.5,1,3,0.93,115.25
sedan,51.7,43.7,15.0,54.4,24,10,0.16,11.95
motorcycle,10.8,10.1,47.4,81.7,2,12,0.35,6.02
motorcycle,16.2,1.6,35.6,100.6,6,17,0.53,0.61
sedan,51.1,15.0,13.9,63.0,20,18,0.24,3.33
motorcycle,10.8,4.5,52.4,68.3,0,20,0.96,4.22
motorcycle,14.9,1.6,59.5,49.1,3,11,0.28,2.18
motorcycle,15.9,9.7,43.4,101.2,17,14,0.15,4.19
hatchback,38.9,20.2,14.2,112.3,24,5,0.73,3.02
truck,61.2,13.4,8.4,106.0,4,11,0.93,1.14
suv,53.6,43.2,10.0,108.5,25,18,0.02,3.38
hatchback,34.3,15.5,20.3,56.8,14,10,0.5,5.99
motorcycle,13.7,6.5,48.7,13.6,9,3,0.06,23.12
sedan,53.4,46.8,17.7,6.0,19,17,0.46,155.82
motorcycle,12.8,1.4,59.8,60.4,27,3,0.13,1.6
truck,81.4,48.6,10.8,10.0,5,9,0.89,62.18
motorcycle,12.6,1.8,30.8,33.1,15,9,0.72,1.96
sedan,39.2,5.0,18.9,23.2,4,14,0.8,4.77
truck,94.3,85.7,5.9,66.4,23,3,0.07,7.56
motorcycle,12.8,4.8,58.4,37.5,25,10,0.67,8.46
truck,104.3,90.5,9.4,81.9,12,5,0.66,11.02
suv,64.1,37.1,8.4,76.8,14,8,0.51,4.42
suv,69.7,17.4,10.2,99.4,14,16,0.51,1.92
motorcycle,13.2,9.9,38.6,89.8,5,20,0.63,5.05
truck,63.1,54.4,8.2,35.2,23,15,0.82,15.5
sedan,41.9,34.0,15.6,16.6,12,16,0.77,36.88
motorcycle,12.3,5.6,53.4,93.7,9,5,0.59,3.31
suv,61.4,31.3,12.8,69.4,24,20,0.5,6.49
suv,66.3,9.6,14.1,112.2,17,17,0.14,1.21
motorcycle,15.2,2.6,58.0,26.1,22,9,0.76,6.87
truck,114.2,99.7,5.5,103.2,8,6,0.1,5.39
suv,53.2,6.3,8.1,68.1,14,16,0.44,0.84
truck,75.3,64.8,8.8,70.5,23,20,0.56,9.01
suv,52.2,40.1,10.3,107.1,27,5,0.7,4.51
suv,79.0,61.8,8.2,74.0,23,7,0.05,6.69
hatchback,40.0,34.6,15.6,98.4,28,3,0.83,6.46
suv,61.8,16.4,15.9,118.0,20,15,0.79,2.64
sedan,41.5,34.1,16.1,42.6,21,7,0.19,13.17
motorcycle,13.5,5.0,58.9,78.8,6,12,0.43,3.57
motorcycle,18.8,6.4,32.8,92.2,14,3,0.57,2.38
truck,90.2,49.6,7.0,114.1,0,14,0.72,3.57
